date_key,date_jour,annee,trimestre,mois,mois_nom,jour,semaine_iso,jour_semaine_num,jour_semaine_nom,est_weekend,annee_mois,annee_trimestre,debut_mois,debut_semaine
20230208,2023-02-08,2023,1,2,February,8,6,3,Wednesday,false,2023-02,2023-T1,2023-02-01,2023-02-06
20230209,2023-02-09,2023,1,2,February,9,6,4,Thursday,false,2023-02,2023-T1,2023-02-01,2023-02-06
20230210,2023-02-10,2023,1,2,February,10,6,5,Friday,false,2023-02,2023-T1,2023-02-01,2023-02-06
20230211,2023-02-11,2023,1,2,February,11,6,6,Saturday,true,2023-02,2023-T1,2023-02-01,2023-02-06
20230212,2023-02-12,2023,1,2,February,12,6,7,Sunday,true,2023-02,2023-T1,2023-02-01,2023-02-06
20230213,2023-02-13,2023,1,2,February,13,7,1,Monday,false,2023-02,2023-T1,2023-02-01,2023-02-13
20230214,2023-02-14,2023,1,2,February,14,7,2,Tuesday,false,2023-02,2023-T1,2023-02-01,2023-02-13
20230215,2023-02-15,2023,1,2,February,15,7,3,Wednesday,false,2023-02,2023-T1,2023-02-01,2023-02-13
20230216,2023-02-16,2023,1,2,February,16,7,4,Thursday,false,2023-02,2023-T1,2023-02-01,2023-02-13
20230217,2023-02-17,2023,1,2,February,17,7,5,Friday,false,2023-02,2023-T1,2023-02-01,2023-02-13
20230218,2023-02-18,2023,1,2,February,18,7,6,Saturday,true,2023-02,2023-T1,2023-02-01,2023-02-13
20230219,2023-02-19,2023,1,2,February,19,7,7,Sunday,true,2023-02,2023-T1,2023-02-01,2023-02-13
20230220,2023-02-20,2023,1,2,February,20,8,1,Monday,false,2023-02,2023-T1,2023-02-01,2023-02-20
20230221,2023-02-21,2023,1,2,February,21,8,2,Tuesday,false,2023-02,2023-T1,2023-02-01,2023-02-20
20230222,2023-02-22,2023,1,2,February,22,8,3,Wednesday,false,2023-02,2023-T1,2023-02-01,2023-02-20
20230223,2023-02-23,2023,1,2,February,23,8,4,Thursday,false,2023-02,2023-T1,2023-02-01,2023-02-20
20230224,2023-02-24,2023,1,2,February,24,8,5,Friday,false,2023-02,2023-T1,2023-02-01,2023-02-20
20230225,2023-02-25,2023,1,2,February,25,8,6,Saturday,true,2023-02,2023-T1,2023-02-01,2023-02-20
20230226,2023-02-26,2023,1,2,February,26,8,7,Sunday,true,2023-02,2023-T1,2023-02-01,2023-02-20
20230227,2023-02-27,2023,1,2,February,27,9,1,Monday,false,2023-02,2023-T1,2023-02-01,2023-02-27
20230228,2023-02-28,2023,1,2,February,28,9,2,Tuesday,false,2023-02,2023-T1,2023-02-01,2023-02-27
20230301,2023-03-01,2023,1,3,March,1,9,3,Wednesday,false,2023-03,2023-T1,2023-03-01,2023-02-27
20230302,2023-03-02,2023,1,3,March,2,9,4,Thursday,false,2023-03,2023-T1,2023-03-01,2023-02-27
20230303,2023-03-03,2023,1,3,March,3,9,5,Friday,false,2023-03,2023-T1,2023-03-01,2023-02-27
20230304,2023-03-04,2023,1,3,March,4,9,6,Saturday,true,2023-03,2023-T1,2023-03-01,2023-02-27
20230305,2023-03-05,2023,1,3,March,5,9,7,Sunday,true,2023-03,2023-T1,2023-03-01,2023-02-27
20230306,2023-03-06,2023,1,3,March,6,10,1,Monday,false,2023-03,2023-T1,2023-03-01,2023-03-06
20230307,2023-03-07,2023,1,3,March,7,10,2,Tuesday,false,2023-03,2023-T1,2023-03-01,2023-03-06
20230308,2023-03-08,2023,1,3,March,8,10,3,Wednesday,false,2023-03,2023-T1,2023-03-01,2023-03-06
20230309,2023-03-09,2023,1,3,March,9,10,4,Thursday,false,2023-03,2023-T1,2023-03-01,2023-03-06
20230310,2023-03-10,2023,1,3,March,10,10,5,Friday,false,2023-03,2023-T1,2023-03-01,2023-03-06
20230311,2023-03-11,2023,1,3,March,11,10,6,Saturday,true,2023-03,2023-T1,2023-03-01,2023-03-06
20230312,2023-03-12,2023,1,3,March,12,10,7,Sunday,true,2023-03,2023-T1,2023-03-01,2023-03-06
20230313,2023-03-13,2023,1,3,March,13,11,1,Monday,false,2023-03,2023-T1,2023-03-01,2023-03-13
20230314,2023-03-14,2023,1,3,March,14,11,2,Tuesday,false,2023-03,2023-T1,2023-03-01,2023-03-13
20230315,2023-03-15,2023,1,3,March,15,11,3,Wednesday,false,2023-03,2023-T1,2023-03-01,2023-03-13
20230316,2023-03-16,2023,1,3,March,16,11,4,Thursday,false,2023-03,2023-T1,2023-03-01,2023-03-13
20230317,2023-03-17,2023,1,3,March,17,11,5,Friday,false,2023-03,2023-T1,2023-03-01,2023-03-13
20230318,2023-03-18,2023,1,3,March,18,11,6,Saturday,true,2023-03,2023-T1,2023-03-01,2023-03-13
20230319,2023-03-19,2023,1,3,March,19,11,7,Sunday,true,2023-03,2023-T1,2023-03-01,2023-03-13
20230320,2023-03-20,2023,1,3,March,20,12,1,Monday,false,2023-03,2023-T1,2023-03-01,2023-03-20
20230321,2023-03-21,2023,1,3,March,21,12,2,Tuesday,false,2023-03,2023-T1,2023-03-01,2023-03-20
20230322,2023-03-22,2023,1,3,March,22,12,3,Wednesday,false,2023-03,2023-T1,2023-03-01,2023-03-20
20230323,2023-03-23,2023,1,3,March,23,12,4,Thursday,false,2023-03,2023-T1,2023-03-01,2023-03-20
20230324,2023-03-24,2023,1,3,March,24,12,5,Friday,false,2023-03,2023-T1,2023-03-01,2023-03-20
